Kod;Nazwa
M0111-005;PLANDEKA FOLIA PRZEZROCZYSTA CLEAR 0,5MM NA OKIENKA / Job:78705 PPTechniq  (Rolka 137cm x 30m)
M0111-006;PLANDEKA FOLIA PRZEZROCZYSTA CZERWONA TBD Red see through welding screens
M0111-007;PLANDEKA FOLIA PRZEZROCZYSTA NA KIESZONKI VESTAS NIEBIESKA/ZIELONA PVC 0,4MM CHINY Długość 100mtr Szerokość 135CM
M0111-008;PLANDEKA FOLIA PRZEZROCZYSTA NA OSŁONY DO ŁAŃCUCHÓW CLEAR 2000 MY UV HT  Job:69073 Global Gravity Magda
M0111-009;PLANDEKA PRZEZROCZYSTA NA ZASŁONY ZIELONA green - Marzena (rolka B:190cm x 50m) 82gr
M0111-010;PLANDEKA PRZEZROCZYSTA NA ZASŁONY ŻÓŁTA ornage yellow - Marzena
M0111-011;PLANDEKA PRZEZROCZYSTA NA ZASŁONY ŻÓŁTA/POMARAŃCZOWA orange yellow - Marzena
M0111-012;PLANDEKA FOLIA PRZEZROCZYSTA CLEARFOL 0,8MM
M0111-013;PLANDEKA FOLIA EXPAFOL Zederkof 00237 160 folia CLEAR 500 my Uv Ht Fr (M2) W137cm L30mtr = 1 roll = 41,1m2/20 roll = 1 paleta folia na okienka
M0111-014;PLANDEKA FOLIA PRZEZROCZYSTA CRISTAL GRUBOŚĆ 0,5MM, 625gr/m2, rolka 183cm
M0111-015;PLANDEKA FOLIA NON PVC PRZEZROCZYSTA NA KIESZONKI VESTAS CHINY 135CM  Długość 100mtr EVA [UWAGA, NASTĘPNE ZAMÓWIENIE NA 2Y UV RESISTANT]
M0111-016;PLANDEKA FOLIA PRZEZROCZYSTA CRISTAL GRUBOŚĆ 0,5MM, 625gr/m2, rolka 140cm
M0112-001;"PLANDEKA FOLIA ALUMINIOWA ALU FOIL 120CM WIDTH ROLL IN 3"" CORE FOR ALUBAG 1 rolka około 228m2"
M0112-002;"PLANDEKA FOLIA ALUMINIOWA ALU FOIL 150CM WIDTH ROLL IN 3"" CORE FOR ALUBAG 1 rolka około 285m2, dostawa od 07/08/2019 250m2"
M0112-003;PLANDEKA FOLIA ALUMINIOWA ALU FOIL 180CM  1 rolka około 342 m2 (190 mtr) #CBAM - 1013545
M0113-001;PLANDEKA FOLIA ASAPACK 1,4x100mtr
M0114-001;PLANDEKA RIVERTEX BLACK 125cm - Ocean Team Windcare / Job:85637 plandeka
M0114-002;PLANDEKA RIVERTEX BLACK 150cm - Ocean Team Windcare / Job:85637 plandeka
M0114-003;PLANDEKA RIVERTEX ECOSEAL 652 BLACK 706gr - Ocean Team Windcare plandeka - Rolka 3,0
M0114-004;PLANDEKA RIVERTEX Ecoseal™ Film 300 (Eth 85) - Ocean Team Windcare - folia przezroczysta plandeka
M0114-005;PLANDEKA RIVERTEX RIVERSEAL POMARAŃCZ (na poduszki Siemens) 150cm plandeka
M0114-006;PLANDEKA RIVERTEX RIVERSEAL450 CZARNY Job:74993 - Ocean Team Scandinavia plandeka
M0114-007;PLANDEKA RIVERTEX TPU 850 ORANGE - Ocean Team Windcare plandeka
M0114-008;PLANDEKA RIVERTEX RIVERSEAL ŻÓŁTY (na poduszki Siemens) 150cm plandeka
M0114-009;PLANDEKA RIVERTEX RIVERSEAL POMARAŃCZOWY (na poduszki Siemens) 150 cm plandeka 240gr
M0114-010;PLANDEKA RIVERTEX ECOSEAL 451 BLACK 150CM 650gr TPU 1 SIDE (Materiał na taśmę namiotową) - rolki 50mb
M0114-011;PLANDEKA RIVERTEX RIVERCYCLON 450 BANNER RAL 9010 WHITE 160CM
M0114-012;PLANDEKA RIVERTEX RIVERCYCLON 450 RAL 9010 WHITE 300CM 450gr FREETARP
M0114-013;PLANDEKA RIVERTEX RIVERCYCLON 530 RAL 9010 WHITE 300CM 600gr
M0114-014;PLANDEKA RIVERTEX ECOSEAL 652 BLACK 706gr 150CM CZARNA
M0114-015;PLANDEKA CHINA RIVERTEX ECOSEAL 652 BLACK 706gr 250CM CZARNA (65LM)
M0114-016;PLANDEKA RIVERTEX CZARNY 150 cm plandeka 240gr
M0114-017;PLANDEKA RIVERTEX RIVERCYCLON 450 0215 BIAŁY POŁYSK 150CM #1523000360
M0114-018;PLANDEKA RIVERTEX RIVERCYCLON 380 BIAŁY
M0114-019;PLANDEKA RIVERTEX RIVERSEAL FILM T400 87A NATURAL 450GR szer_150 cm
M0115-001;PLANDEKA FOLIA PRZEZROCZYSTA TPU PU BAG BOGORMEN
M0115-002;PLANDEKA FOLIA PRZEZROCZYSTA TPU PU BAG VIKING
M0115-003;PLANDEKA FOLIA PRZEZROCZYSTA TPU PU BAG VIKING Expafol 191072030012005 TPU 300 my Translucid Matt 120 cm
M0119-001;PLANDEKA FOLIA TRANSHIELD 290cm szerokość, 100mtr długość = 290m2/rolka po całkowitym zużyciu materiału ze stanu magazynowego przechodzimy na inny surowiec i produkt
M0119-002;PLANDEKA Arcade FR 500gr 150cm 810 Sort
M0119-003;PLANDEKA HEYTEX H8542-0370 075CM BLACK MacArtney
M0119-004;PLANDEKA HEYTEX H8550-0290 205CM 950gr BIAŁA COSTBAR TPU 950 ROLKA 30MTR DŁUGOŚCI
M0119-005;PLANDEKA HEYTEX H8551-0420 205CM POMARAŃCZOWA SEABAR TPU 1500 ROLKA 100mb
M0119-006;PLANDEKA HEYTEX H9800-9005 155CM MacArtney CZARNA
M0119-007;PLANDEKA HEYTEX H9800-9005 180CM MacArtney CZARNA
M0119-008;PLANDEKA INDUSTRIAL TEXTILES & PLASTICS LTD OGNIOODPORNA 320cm Job:78705 PPTechniq BIAŁA
M0119-009;PLANDEKA MEHLER 7321 5342 150CM 729729 JASNOSZARA 1450gr [NIEROT, SPR PONOWNIE 06.2026]
M0119-010;PLANDEKA MEHLER ANTYPOŚLIZGOWA SZARA (ETYKIETA NAZIL GR680 65M 250CM COLOR 913 WZÓR 3D)
M0119-011;PLANDEKA SERGE FERRARI(pomarańcz) 502V2 SOLTIS PROFF - Carrot 502V2-2172 40MTR WIDTH 180CM ORANGE  (MOGĄ BYĆ RÓŻNE ODCIENIE)
M0119-012;PLANDEKA SERGE FERRARI(zielony)502V2 SOLTIS PROOF 502V2 2157C ST ANIS ROLLS 40MTR WIDTH 180CM YELLOW (MOGĄ BYĆ RÓŻNE ODCIENIE)
M0119-013;PLANDEKA SIOEN B6060/7264/300CM SZARY BIOGAS
M0119-014;PLANDEKA SIOEN B9303/9002/300CM BIAŁA spożywcza na Pet-pocket
M0119-015;PLANDEKA SIOEN B7119/6001/320CM ZIELONA 630gr
M0119-016;PLANDEKA SIOEN S9350/7999/305CM BLACK plandeka na asfalt
M0119-017;PLANDEKA SIOEN TC0015/9015/214,0cm T TWICE DL FRC MED SZARY
M0119-018;PLANDEKA SIOEN TRUDNOPALNA CZARNA
M0119-019;PLANDEKA VERSEIDAG B1630/270CM/573 POMARAŃCZOWA  (SUR-POW a nie SUR-ROL) 3000gr
M0119-020;PLANDEKA VERSEIDAG B71311/300,00/322/322  SZARA Bio Gas JOB:72636 1050gr
M0119-022;PLANDEKA MEHLER 7806 5342 1020 905905 CZARNE WZMOCNIENIE grubość 2mm
M0119-023;PLANDEKA MEHLER 4217 6243 2200 905000 CZARNA 280g
M0119-024;Zederkof 00244 NAIZIL SPORT COVER - C3552300427 Col: 427 W300cm L65mtr plandeka czarna 720 gr
M0119-025;Zederkof 00251 NAZIZIL SPORT COVER - C3552218260 Col.260 W218cm L65mtr ZIELONA
M0119-026;PLANDEKA WŁÓKNINA OGNIOODPORNA POLIESTER 300CM CZARNA 300GR
M0119-027;PLANDEKA FALCO Polyester, 500/500 4PU WR FR UV, 155CM, 240gr, beżowy
M0119-028;PLANDEKA SEDO SEDOMAR SR 300CM CZARNY 350GR
M0119-029;PLANDEKA SIOEN BIOGAS E8610/7349/250CM SZARA 950GR
M0119-030;PLANDEKA SERGE FERRARI ŻÓŁTY SOLTIS 502V3-2166C 180CM, 40MTR 100% Z RECYCLINGU
M0119-031;PLANDEKA HEYTEX H8551-9002 205CM JASNOSZARA SEABAR TPU 1500 ROLKA
M0119-032;PLANDEKA SERGE FERRARI POMARAŃCZOWY SOLTIS 502V3-8204C 180CM, 40MTR 100% Z RECYCLINGU
M0120-001;PLANDEKA CHINA FREETARP 320CM NIEBIESKA RAL 5003  380/400g 13-10041-3
M0120-002;PLANDEKA CHINA FREETARP 320CM SZARA 380/400g  13-10041-1
M0120-004;PLANDEKA XPO NIEBIESKO/ZIELONA 350GR
M0120-005;PLANDEKA CHINA FREETARP 320CM NIEBIESKA RAL 5003 540gr TRUDNOPALNA
M0120-006;PLANDEKA CHINA FREETARP 320CM SZARA 11C 540g RAL 7015
M0120-007;PLANDEKA CHINA FREETARP 320CM ZIELONA 7721C  540g
M0120-008;PLANDEKA CHINA FREETARP 320CM NIEBIESKA RAL 5003 540gr
M0120-009;PLANDEKA CHINA FREETARP 320CM POMARAŃCZOWA RAL2004 380/400g
M0120-010;PLANDEKA CHINA FREETARP 320CM SZARA 11C 540GR (czekamy na datasheet, zamówione na prośbę DK)
M0120-011;PLANDEKA CHINA FREETARP 320CM BIAŁA 450GR [ZAMIENNIK ZA M0114-012]
M0121-001;PLANDEKA PE HARALD NYBORG  ZIELONA Marzena bramki z jednej plandeki 8x10 robi się trzy bramki
M0121-002;PLANDEKA PE SUPER TARP STANDARD GREEN 4X6M Bech Andersen
M0121-003;PLANDEKA PE TAPE FABRIC 703107 TAPE FABRIC expert blue 2,05x100 m
M0121-004;PLANDEKA PE TAPE FABRIC 703251 TAPE FABRIC expert orange 2,05x100 m
M0121-005;PLANDEKA PE TAPE FABRIC BLUE 380gr rolka 400m *3.2m RAL5003
M0121-007;PLANDEKA PE TAPE FABRIC NATURAL EXPERT WHITE 200gr UV SZER.205cm DŁUG.100mtr (Na Vestas Dust tarpaulin)
M0121-008;PLANDEKA PE TAPE FABRIC NATURAL 80gr 3,2 X2500M UV 2Y (na Vestas BLADE BAG)
M0121-009;PLANDEKA PE TAPE FABRIC PE 200gr rolls in 100cm width red/black
M0121-013;PLANDEKA PE TAPE FABRIC TAPE FABRIC green/black 2,05x100 m GREEN RAL 6026 / BLACK RAL 9011
M0121-014;PLANDEKA PE TAPE FABRIC WHITE 380gr rolka 150mtr *2,13m
M0121-016;PLANDEKA PE TAPE FABRIC STANDARD NATURAL 140GR SZER.205cm DŁUG.100mtr
M0121-017;PLANDEKA PE  NATURAL UV 2Y 140GR SZER.320CM, 1000mb
M1210-016;Plandeka MATERIAŁ MEHLER 4107 4911 170CM 9671 AIRTEX (czerwony) [JAK SIE SKOŃCZY TO UŻYĆ M1202-009] na śmigło
M1210-021;PLANDEKA MATERIAŁ ODYSSEY NIEBIESKI F0800A90Y Odyssey - Harbour Blue 163cm plandeka
M1210-022;PLANDEKA MATERIAŁ ODYSSEY SZARY F0800A97Y Odyssey - Charcoal Grey 163cm width plandeka
M1210-024;PLANDEKA RIVERTEX RIVERSEAL NIEBIESKI (na poduszki Siemens) 150cm plandeka
M1210-043;Plandeka MATERIAŁ MEHLER 4109 5342 921921 170CM AIRTEX (BIAŁY)
M1210-046;MATERIAŁ CHINA BLADE BAG CZERWONY155CM 200GR [UŻYĆ JAK SIĘ SKOŃCZU M1210-016 ORAZ M1202-009] na śmigło
M1210-047;MATERIAŁ CHINA FALCO OXFORD 292 CM ZIELONA RAL 6005 240 GR BEZ FR - GALEBREAKER
M1210-050;MATERIAŁ KEDROWY NA WZMOCNIENIA EASY GLIDE MEHLER 7113 5341 150CM 905000 CZARNY 730GR
M1210-051;MATERIAŁ NA KEDER SIOEN E5036/7999 130CM
M1210-052;MATERIAŁ NA KEDER SIOEN E5036/7975 215CM
